Ownership,Fund,,Vidhan Sabha,,Mandal,,Panchayat,,Project Details,,Recommended Amount,,Recommended Year,,Project Status
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Sansad Mad,,Vidhan Sabha: Covid,,Mandal:Covid,,Panchayat : ,,"Project Details / Work Done / Welfare Scheme : Funds were provided to District Nazarat Sub-Collector, Hazaribagh for JN095 masks to Sony Global Service for protection and prevention from the global pandemic Corona Covid-19. (37500 masks)",,"Recommended Amount / Fund Amount / Fund Alloted : 22,48,125",,Recommended Year / Year of Completion : 2021,,Project Status:Completed
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Sansad Mad,,Vidhan Sabha: Covid,,Mandal:Covid,,Panchayat : ,,"Project Details / Work Done / Welfare Scheme : Superintendent, Sheikh Bhikhari Medical College Hospital, Hazaribagh",,"Recommended Amount / Fund Amount / Fund Alloted : 1,71,100",,Recommended Year / Year of Completion : 2022,,Project Status:Completed
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Sansad Mad,,Vidhan Sabha: Covid,,Mandal:Covid,,Panchayat : ,,"Project Details / Work Done / Welfare Scheme : For ventilators, oxygen cylinders, PPE kits, masks and other medical supplies to further improve health facilities for prevention and control of Covid-19.",,"Recommended Amount / Fund Amount / Fund Alloted : 20,00,000",,Recommended Year / Year of Completion : 2022,,Project Status:Completed
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Sansad Mad,,Vidhan Sabha: Covid,,Mandal:Covid,,Panchayat : ,,Project Details / Work Done / Welfare Scheme : To further strengthen and improve the health facilities of patients infected with the global pandemic Corona Covid-19.,,"Recommended Amount / Fund Amount / Fund Alloted : 5,00,000",,Recommended Year / Year of Completion : 2022,,Project Status:Completed
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Sansad Mad,,Vidhan Sabha: Covid,,Mandal:Covid,,Panchayat : ,,"Project Details / Work Done / Welfare Scheme : In view of Corona Covid-19, to purchase high quality multi-layer masks/face covers for the general public, especially the elderly etc.",,"Recommended Amount / Fund Amount / Fund Alloted : 15,00,000",,Recommended Year / Year of Completion : 2022,,Project Status:Completed
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Sansad Mad,,Vidhan Sabha: Covid,,Mandal:Covid,,Panchayat : ,,"Project Details / Work Done / Welfare Scheme : Construction of pipeline to Block Development Officer, Vishnugarh/Katkamasandi for supplying oxygen to the patients of Community Health Centre, Vishnugarh and Katkamsandi. (Rs 4.00-4.00 lakh)",,"Recommended Amount / Fund Amount / Fund Alloted : 8,00,000",,Recommended Year / Year of Completion : 2022,,Project Status:Completed
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Sansad Mad,,Vidhan Sabha: Covid,,Mandal:Covid,,Panchayat : ,,Project Details / Work Done / Welfare Scheme : Manufacturing of 50000 (fifty thousand) 03 layer masks for Hazaribagh district to deal with the third wave of Corona and for the safety of the area residents.,,"Recommended Amount / Fund Amount / Fund Alloted : 7,50,000",,Recommended Year / Year of Completion : 2022,,Project Status:Completed
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Sansad Mad,,Vidhan Sabha: Covid,,Mandal:Covid,,Panchayat : ,,Project Details / Work Done / Welfare Scheme : For construction of traffic posts at 05 places to strengthen the traffic system in Ramgarh district.,,"Recommended Amount / Fund Amount / Fund Alloted : 21,71,500",,Recommended Year / Year of Completion : 2022,,Project Status:Completed
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Khanij Mad,,Vidhan Sabha: Hazaribagh,,Mandal:Katkamdag,,Panchayat : ,,Project Details / Work Done / Welfare Scheme : Construction of deep boring at the rehabilitation site located in Bendi village under Katkamdag block. (four add),,Recommended Amount / Fund Amount / Fund Alloted : 1890000,,Recommended Year / Year of Completion : 2023,,Project Status:Completed
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Khanij Mad,,Vidhan Sabha: Hazaribagh,,Mandal:Sadar,,Panchayat : ,,Project Details / Work Done / Welfare Scheme : Upgradation of Rukmini Library under Sadar Block,,Recommended Amount / Fund Amount / Fund Alloted : 200000,,Recommended Year / Year of Completion : 2021,,Project Status:Completed
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Khanij Mad,,Vidhan Sabha: Hazaribagh,,Mandal:Katkamdag,,Panchayat : ,,Project Details / Work Done / Welfare Scheme : Strengthening the system in 40 primary schools under Hazaribagh district.,,Recommended Amount / Fund Amount / Fund Alloted : 4537500,,Recommended Year / Year of Completion : 2021,,Project Status:Completed
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Khanij Mad,,Vidhan Sabha: Hazaribagh,,Mandal:Daru,,Panchayat : ,,Project Details / Work Done / Welfare Scheme : Water supply work in 25 community toilets.,,Recommended Amount / Fund Amount / Fund Alloted : 1727388,,Recommended Year / Year of Completion : 2023,,Project Status:On Going
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Khanij Mad,,Vidhan Sabha: Hazaribagh,,Mandal:Katkamsandi,,Panchayat : ,,Project Details / Work Done / Welfare Scheme : Strengthening the system in 40 primary schools under Hazaribagh district.,,Recommended Amount / Fund Amount / Fund Alloted : 4537500,,Recommended Year / Year of Completion : 2021,,Project Status:Completed
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Khanij Mad,,Vidhan Sabha: Hazaribagh,,Mandal:Sadar,,Panchayat : ,,Project Details / Work Done / Welfare Scheme : Water supply work in 10 community toilets.,,Recommended Amount / Fund Amount / Fund Alloted : 460637,,Recommended Year / Year of Completion : 2023,,Project Status:On Going
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Khanij Mad,,Vidhan Sabha: Hazaribagh,,Mandal:Katkamdag,,Panchayat : ,,Project Details / Work Done / Welfare Scheme : Water supply work in 10 community toilets.,,Recommended Amount / Fund Amount / Fund Alloted : 460637,,Recommended Year / Year of Completion : 2023,,Project Status:On Going
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Khanij Mad,,Vidhan Sabha: Hazaribagh,,Mandal:Katkamsandi,,Panchayat : ,,Project Details / Work Done / Welfare Scheme : Water supply work in 10 community toilets.,,Recommended Amount / Fund Amount / Fund Alloted : 460637,,Recommended Year / Year of Completion : 2023,,Project Status:On Going
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Khanij Mad,,Vidhan Sabha: Hazaribagh,,Mandal:Daru,,Panchayat : ,,Project Details / Work Done / Welfare Scheme : Strengthening the system in 40 primary schools under Hazaribagh district.,,Recommended Amount / Fund Amount / Fund Alloted : 4537500,,Recommended Year / Year of Completion : 2021,,Project Status:Completed
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Khanij Mad,,Vidhan Sabha: Hazaribagh,,Mandal:Sadar,,Panchayat : ,,Project Details / Work Done / Welfare Scheme : Strengthening the system in 40 primary schools under Hazaribagh district.,,Recommended Amount / Fund Amount / Fund Alloted : 4537500,,Recommended Year / Year of Completion : 2022,,Project Status:Completed
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Khanij Mad,,Vidhan Sabha: Hazaribagh,,Mandal:Sadar,,Panchayat : ,,"Project Details / Work Done / Welfare Scheme : Renovation work of boundary wall of Samarth Residential School, Hazaribagh.",,Recommended Amount / Fund Amount / Fund Alloted : 2481800,,Recommended Year / Year of Completion : 2022,,Project Status:Completed
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Khanij Mad,,Vidhan Sabha: Hazaribagh,,Mandal:Sadar,,Panchayat : ,,"Project Details / Work Done / Welfare Scheme : Renovation work of Block-A and C of Samarth Residential School, Hazaribagh.",,Recommended Amount / Fund Amount / Fund Alloted : 2496100,,Recommended Year / Year of Completion : 2022,,Project Status:Completed
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Khanij Mad,,Vidhan Sabha: Hazaribagh,,Mandal:Sadar,,Panchayat : ,,"Project Details / Work Done / Welfare Scheme : Renovation work of Block-B of Samarth Residential School, Hazaribagh.",,Recommended Amount / Fund Amount / Fund Alloted : 2419150,,Recommended Year / Year of Completion : 2022,,Project Status:Completed
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Khanij Mad,,Vidhan Sabha: Hazaribagh,,Mandal:Sadar,,Panchayat : ,,"Project Details / Work Done / Welfare Scheme : Renovation work of office building of Samarth Residential School, Hazaribagh.",,Recommended Amount / Fund Amount / Fund Alloted : 2139960,,Recommended Year / Year of Completion : 2022,,Project Status:Completed
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Khanij Mad,,Vidhan Sabha: Hazaribagh,,Mandal:Katkamsandi,,Panchayat : ,,Project Details / Work Done / Welfare Scheme : Repair of 35 Anganwadi centers,,Recommended Amount / Fund Amount / Fund Alloted : 550191,,Recommended Year / Year of Completion : 2021,,Project Status:Completed
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Khanij Mad,,Vidhan Sabha: Hazaribagh,,Mandal:Sadar,,Panchayat : ,,Project Details / Work Done / Welfare Scheme : Repair of 35 Anganwadi centers,,Recommended Amount / Fund Amount / Fund Alloted : 550191,,Recommended Year / Year of Completion : 2021,,Project Status:Completed
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Khanij Mad,,Vidhan Sabha: Hazaribagh,,Mandal:Katkamsandi,,Panchayat : ,,Project Details / Work Done / Welfare Scheme : Repair of 13 Anganwadi centers,,Recommended Amount / Fund Amount / Fund Alloted : 683463,,Recommended Year / Year of Completion : 2022,,Project Status:Completed
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Khanij Mad,,Vidhan Sabha: Hazaribagh,,Mandal:Sadar,,Panchayat : ,,Project Details / Work Done / Welfare Scheme : Repair of 13 Anganwadi centers,,Recommended Amount / Fund Amount / Fund Alloted : 683463,,Recommended Year / Year of Completion : 2022,,Project Status:Completed
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Khanij Mad,,Vidhan Sabha: Hazaribagh,,Mandal:Sadar,,Panchayat : ,,Project Details / Work Done / Welfare Scheme : Construction of new buildings of 06 Anganwadi centers,,Recommended Amount / Fund Amount / Fund Alloted : 2994600,,Recommended Year / Year of Completion : 2023,,Project Status:Completed
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Khanij Mad,,Vidhan Sabha: Hazaribagh,,Mandal:Sadar,,Panchayat : ,,"Project Details / Work Done / Welfare Scheme : Various works to strengthen the system of Observation Home, Hazaribagh. 1",,Recommended Amount / Fund Amount / Fund Alloted : 3379100,,Recommended Year / Year of Completion : 2023,,Project Status:Completed
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Khanij Mad,,Vidhan Sabha: Hazaribagh,,Mandal:Katkamsandi,,Panchayat : ,,Project Details / Work Done / Welfare Scheme : ,,39455700,,Recommended Year / Year of Completion : 2022,,Project Status:On Going
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Khanij Mad,,Vidhan Sabha: Hazaribagh,,Mandal:Sadar,,Panchayat : ,,"Project Details / Work Done / Welfare Scheme : Various works to strengthen the system of Observation Home, Hazaribagh. 2",,6273600,,Recommended Year / Year of Completion : 2023,,Project Status:Completed
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Khanij Mad,,Vidhan Sabha: Hazaribagh,,Mandal:Katkamdag,,Panchayat : ,,Project Details / Work Done / Welfare Scheme : 08 Repair of Anganwadi centers,,1016250,,Recommended Year / Year of Completion : 2023,,Project Status:Completed
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Khanij Mad,,Vidhan Sabha: Hazaribagh,,Mandal:Daru,,Panchayat : ,,Project Details / Work Done / Welfare Scheme : 08 Repair of Anganwadi centers,,1016250,,Recommended Year / Year of Completion : 2023,,Project Status:Completed
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Khanij Mad,,Vidhan Sabha: Hazaribagh,,Mandal:Daru,,Panchayat : ,,"Project Details / Work Done / Welfare Scheme : Miscellaneous works for upgradation of Maheshara +2 High School, Maheshara.",,30150000,,Recommended Year / Year of Completion : 2022,,Project Status:On Going
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Khanij Mad,,Vidhan Sabha: Hazaribagh,,Mandal:Sadar,,Panchayat : ,,Project Details / Work Done / Welfare Scheme : Purchase of 4 ventilators in SBMCCH,,3068800,,Recommended Year / Year of Completion : 2021,,Project Status:Completed
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Khanij Mad,,Vidhan Sabha: Hazaribagh,,Mandal:Sadar,,Panchayat : ,,Project Details / Work Done / Welfare Scheme : Purchase of medical equipment under DMFT - 1,,21886178,,Recommended Year / Year of Completion : 2021,,Project Status:Completed
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Khanij Mad,,Vidhan Sabha: Hazaribagh,,Mandal:Sadar,,Panchayat : ,,Project Details / Work Done / Welfare Scheme : Electrical work in SBMCH,,5849398,,Recommended Year / Year of Completion : 2021,,Project Status:Completed
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Khanij Mad,,Vidhan Sabha: Hazaribagh,,Mandal:Sadar,,Panchayat : ,,Project Details / Work Done / Welfare Scheme : Procurement of 2 Generators of 250 KVA each for PSA Plant SBMCH,,5000000,,Recommended Year / Year of Completion : 2021,,Project Status:Completed
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Khanij Mad,,Vidhan Sabha: Hazaribagh,,Mandal:Katkamsandi,,Panchayat : ,,Project Details / Work Done / Welfare Scheme : Various works for strengthening Katkamsandi Community Health Center,,7004350,,Recommended Year / Year of Completion : 2021,,Project Status:Completed
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Khanij Mad,,Vidhan Sabha: Hazaribagh,,Mandal:Katkamdag,,Panchayat : ,,"Project Details / Work Done / Welfare Scheme : Miscellaneous works for upgradation of Upgraded High School, Katkamdag.",,5693400,,Recommended Year / Year of Completion : 2022,,Project Status:On Going
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Khanij Mad,,Vidhan Sabha: Hazaribagh,,Mandal:Katkamsandi,,Panchayat : ,,Project Details / Work Done / Welfare Scheme : Construction of boundary wall at Katkamsandi Community Health Centre.,,2473200,,Recommended Year / Year of Completion : 2022,,Project Status:Completed
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Khanij Mad,,Vidhan Sabha: Hazaribagh,,Mandal:Sadar,,Panchayat : ,,"Project Details / Work Done / Welfare Scheme : Miscellaneous work for upgradation of Bihari Girls High School, Hazaribagh.",,3645900,,Recommended Year / Year of Completion : 2022,,Project Status:On Going
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Khanij Mad,,Vidhan Sabha: Hazaribagh,,Mandal:Daru,,Panchayat : ,,"Project Details / Work Done / Welfare Scheme : Construction of boundary wall of Jharkhand Girls Residential School, Daru.",,9313100,,Recommended Year / Year of Completion : 2022,,Project Status:On Going
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Khanij Mad,,Vidhan Sabha: Hazaribagh,,Mandal:Katkamsandi,,Panchayat : ,,Project Details / Work Done / Welfare Scheme : Installation of 2 high mast lights under Katkamsandi Community Health Centre.,,1988300,,Recommended Year / Year of Completion : 2022,,Project Status:Completed
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Khanij Mad,,Vidhan Sabha: Hazaribagh,,Mandal:Sadar,,Panchayat : ,,Project Details / Work Done / Welfare Scheme : Purchase of medical equipment under DMFT - 2,,24947538,,Recommended Year / Year of Completion : 2022,,Project Status:Completed
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Khanij Mad,,Vidhan Sabha: Hazaribagh,,Mandal:Sadar,,Panchayat : ,,Project Details / Work Done / Welfare Scheme : Repair work of post mortem building in SBMCH.,,1938900,,Recommended Year / Year of Completion : 2022,,Project Status:Completed
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Khanij Mad,,Vidhan Sabha: Hazaribagh,,Mandal:Sadar,,Panchayat : ,,Project Details / Work Done / Welfare Scheme : Renovation work of the old building (OPD) of Sadar Hospital.,,592000,,Recommended Year / Year of Completion : 2022,,Project Status:Completed
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Khanij Mad,,Vidhan Sabha: Hazaribagh,,Mandal:Katkamsandi,,Panchayat : ,,"Project Details / Work Done / Welfare Scheme : Necessary work for disinfection of delivery room in Community Health Centre, Katkamsandi.",,1789400,,Recommended Year / Year of Completion : 2022,,Project Status:Completed
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Khanij Mad,,Vidhan Sabha: Hazaribagh,,Mandal:Daru,,Panchayat : ,,"Project Details / Work Done / Welfare Scheme : Miscellaneous work for upgradation of Middle School, Daru Boy.",,12160200,,Recommended Year / Year of Completion : 2022,,Project Status:On Going
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Khanij Mad,,Vidhan Sabha: Hazaribagh,,Mandal:Sadar,,Panchayat : ,,"Project Details / Work Done / Welfare Scheme : Miscellaneous works for upgradation of Middle School, Harhad.",,6042900,,Recommended Year / Year of Completion : 2022,,Project Status:On Going
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Khanij Mad,,Vidhan Sabha: Hazaribagh,,Mandal:Katkamdag,,Panchayat : ,,"Project Details / Work Done / Welfare Scheme : Various works for upgradation of Upgraded Middle School, Kusumbha.",,5213000,,Recommended Year / Year of Completion : 2022,,Project Status:On Going
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Khanij Mad,,Vidhan Sabha: Hazaribagh,,Mandal:Sadar,,Panchayat : ,,"Project Details / Work Done / Welfare Scheme : Miscellaneous works for upgradation of Upgraded Middle School, Rolla.",,3966300,,Recommended Year / Year of Completion : 2022,,Project Status:On Going
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Khanij Mad,,Vidhan Sabha: Hazaribagh,,Mandal:Katkamsandi,,Panchayat : ,,Project Details / Work Done / Welfare Scheme : ,,823445,,Recommended Year / Year of Completion : 2020,,Project Status:Completed
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Khanij Mad,,Vidhan Sabha: Hazaribagh,,Mandal:Katkamdag,,Panchayat : ,,"Project Details / Work Done / Welfare Scheme : Construction of boundary wall of primary school, Simaria, in village Simaria of Panchayat Adra, under Katkamdag block.",,1387900,,Recommended Year / Year of Completion : 2022,,Project Status:On Going
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Khanij Mad,,Vidhan Sabha: Hazaribagh,,Mandal:Sadar,,Panchayat : ,,Project Details / Work Done / Welfare Scheme : ,,548800,,Recommended Year / Year of Completion : 2022,,Project Status:Completed
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Khanij Mad,,Vidhan Sabha: Hazaribagh,,Mandal:Daru,,Panchayat : ,,"Project Details / Work Done / Welfare Scheme : Miscellaneous works for upgradation of Middle School, Maheshra.",,14405900,,Recommended Year / Year of Completion : 2022,,Project Status:On Going
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Khanij Mad,,Vidhan Sabha: Hazaribagh,,Mandal:Katkamdag,,Panchayat : ,,Project Details / Work Done / Welfare Scheme : Plan to develop market for goods manufactured by Sakhi Mandali,,18750,,Recommended Year / Year of Completion : 2023,,Project Status:Completed
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Khanij Mad,,Vidhan Sabha: Hazaribagh,,Mandal:Katkamsandi,,Panchayat : ,,Project Details / Work Done / Welfare Scheme : Plan to develop market for goods manufactured by Sakhi Mandali,,18750,,Recommended Year / Year of Completion : 2023,,Project Status:Completed
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Khanij Mad,,Vidhan Sabha: Hazaribagh,,Mandal:Katkamsandi,,Panchayat : ,,"Project Details / Work Done / Welfare Scheme : Miscellaneous works for upgradation of Upgraded Middle School, Edla.",,9967500,,Recommended Year / Year of Completion : 2022,,Project Status:On Going
